Question,LC#,Category,Topic,Pattern,Company,Difficulty,Status,Date,Attempts,Notes
Range Sum Query - Mutable,307,coding,Segment Tree / BIT,BIT + Segment Tree both,google,,not-started,,,
Count of Smaller Numbers After Self,315,coding,merge sort,BIT / Merge Sort,google,,redo,28feb2026,,
Range Sum Query 2D - Mutable,308,coding,Segment Tree / BIT,2D BIT,google,,not-started,,,
My Calendar III,732,coding,Segment Tree / BIT,Segment Tree + Lazy Propagation,google,,not-started,,,
Falling Squares,699,coding,Segment Tree / BIT,Segment Tree,google,,not-started,,,
Count of Range Sum,327,coding,merge sort and segment tree,BIT / Merge Sort,google,,redo,28feb2026,,
Next Greater Element II,503,coding,Monotonic Stack / Deque,Template problem,google,,not-started,,,
Sliding Window Maximum,239,coding,Monotonic Stack / Deque,Monotonic Deque,google,,not-started,,,
Largest Rectangle in Histogram,84,coding,Monotonic Stack / Deque,Classic monotonic stack,google,,not-started,,,
Maximal Rectangle,85,coding,Monotonic Stack / Deque,Stack + DP,google,,not-started,,,
Shortest Subarray with Sum at Least K,862,coding,monotone queue,"pref sum,Monotonic Deque + Prefix Sum",google,,redo,28feb2026,,
Sum of Subarray Minimums,907,coding,Monotonic Stack / Deque,Monotonic stack pattern,google,,not-started,,,
Online Stock Span,901,coding,Monotonic Stack / Deque,,google,,not-started,,,
Course Schedule II (Topological Sort),210,coding,Advanced Graph,Clean template,google,,not-started,,,
Alien Dictionary,269,coding,Advanced Graph,Already done - revisit,google,,solved,19feb2026,,
Longest Increasing Path in Matrix,329,coding,Advanced Graph,Topo sort + memoization,google,,not-started,,,
Critical Connections in a Network,1192,coding,Advanced Graph,,google,,not-started,,,
Strongly Connected Components,,coding,Advanced Graph,,google,,not-started,,,
Minimum Cost to Reach City With Discounts,2093,coding,Advanced Graph,Modified Dijkstra,google,,not-started,,,
Swim in Rising Water,778,coding,Advanced Graph,Binary Search + BFS / UF,google,,not-started,,,
Partition to K Equal Sum Subsets,698,coding,Bitmask DP / Bits,Bitmask DP,google,,not-started,,,
Shortest Path Visiting All Nodes,847,coding,Bitmask DP / Bits,BFS + bitmask,google,,not-started,,,
Maximum Students Taking Exam,1349,coding,Bitmask DP / Bits,Bitmask DP,google,,not-started,,,
Find the Shortest Superstring,943,coding,Bitmask DP / Bits,TSP-style bitmask DP,google,,not-started,,,
Number of Valid Words for Each Puzzle,1178,coding,Bitmask DP / Bits,Bitmask + subset enumeration,google,,not-started,,,
Subarray Sum Equals K,560,coding,Prefix Sum / Diff Array,Already done - revisit,google,,solved,,,
Product of Array Except Self,238,coding,Prefix Sum / Diff Array,Already done,google,,solved,,,
Range Addition,370,coding,Prefix Sum / Diff Array,Difference array template,google,,not-started,,,
Corporate Flight Bookings,1109,coding,Prefix Sum / Diff Array,Difference array,google,,not-started,,,
Maximum Sum of 3 Non-Overlapping Subarrays,689,coding,Prefix Sum / Diff Array,Prefix sum + DP,google,,not-started,,,
Stamping the Grid,2132,coding,Prefix Sum / Diff Array,2D prefix sum + diff array,google,,not-started,,,
LRU Cache,146,coding,Design,Revisit for speed,google,,solved,,,
LFU Cache,460,coding,Design,Google favorite,google,,not-started,,,
Design In-Memory File System,588,coding,Design,Trie-based,google,,not-started,,,
Design Search Autocomplete System,642,coding,Design,Already done,google,,solved,,,
Snapshot Array,1146,coding,Design,Google tagged,google,,not-started,,,
Design Hit Counter,362,coding,Design,,google,,not-started,,,
Iterator for Combination,1286,coding,Design,Iterator pattern,google,,not-started,,,
The Skyline Problem,218,coding,Geometry / Line Sweep,Line sweep + heap,google,,not-started,,,
Rectangle Area II,850,coding,Geometry / Line Sweep,Line sweep + segment tree,google,,not-started,,,
Max Points on a Line,149,coding,Geometry / Line Sweep,GCD based,google,,not-started,,,
Minimum Number of Arrows to Burst Balloons,452,coding,Geometry / Line Sweep,Greedy sweep,google,,not-started,,,
Maximum Frequency Stack,895,coding,Stack + HashMap,Stack + HashMap,google,,not-started,,,
Split Array Largest Sum,410,coding,Binary Search,Binary Search + Greedy,google,,not-started,,,
Median of Two Sorted Arrays,4,coding,Binary Search,Revisit for under 10 min,google,,solved,,,
Count Different Palindromic Subsequences,730,coding,DP,DP,google,,not-started,,,
Minimum Window Subsequence,727,coding,Sliding Window,Already done,google,,solved,,,
Race Car,818,coding,BFS / DP,BFS / DP,google,,not-started,,,
Strobogrammatic Number III,248,coding,Recursion,Recursion,google,,not-started,,,
Minimize Max Distance to Gas Station,774,coding,Binary Search,Binary Search,google,,not-started,,,
Maximum Sum of 3 Non-Overlapping Subarrays,689,coding,DP / Prefix Sum,DP,google,,not-started,,,
Campus Bikes II,1066,coding,Bitmask DP,Bitmask DP / Hungarian,google,,not-started,,,
Longest String Chain,1048,coding,DP,DP,google,,not-started,,,
Number of Atoms,726,coding,Stack / Parsing,Stack + Parsing,google,,not-started,,,
Flip Equivalent Binary Trees,951,coding,Trees,Recursion,google,,not-started,,,
Minimum Area Rectangle,939,coding,Geometry / Hash,HashSet,google,,not-started,,,
Odd Even Jump,975,coding,Monotonic Stack / DP,Monotonic stack + DP,google,,not-started,,,
Most Stones Removed with Same Row or Column,947,coding,Graph (Union-Find),Union-Find,google,,not-started,,,
Robot Room Cleaner,489,coding,Backtracking,DFS + backtrack,google,,not-started,,,
Detect Squares,2013,coding,Design / Hash,HashMap,google,,not-started,,,
Amount of New Area Painted Each Day,2158,coding,Segment Tree,Segment tree / sorted set,google,,not-started,,,
Step-By-Step Directions From a Binary Tree Node to Another,2096,coding,Trees / LCA,LCA,google,,not-started,,,
Combination Sum,39,coding,Backtracking,classic backtrack template,google,,solved,19feb2026,,
Number Of Beautiful Partitions,2478,coding,dp,TODO,google,,solved,19feb2026,,
Count K Subsequences Of A String With Maximum Beauty,2842,coding,greedy,hard..mathmod,google,,solved,20feb2026,,
Burst Ballons,312,coding,dp,,google,,solved,15mar2026,,
Design Excel Sum,631,coding,,,google,,solved,28mar2026,,
Best Meeting Point,296,coding,,,google,,solved,10apr2026,,
Contains Duplicate,220,coding,,,google,,redo,10apr2026,,
Smallest Team,1125,coding,,,google,,solved,10apr2026,,
Permutation Sequence,60,coding,,,google,,solved,11apr2026,,
Affected Services After Shutting Down Dependencies (Topological Order),company wise/amazon/1p3a/Affected Services After Shutting Down Dependencies (Topological Order).md,coding,,,amazon,,not-started,,,
All Valid Sentences by Inserting Spaces (Word Break II),company wise/amazon/1p3a/All Valid Sentences by Inserting Spaces (Word Break II).md,coding,,,amazon,,not-started,,,
Amazon Training Courses Catalog Validation Function- Detecting Cycles,company wise/amazon/1p3a/Amazon Training Courses Catalog Validation Function- Detecting Cycles.md,coding,,,amazon,,not-started,,,
Backtracking : Grid Search (exact problem id unknown),company wise/amazon/1p3a/Backtracking : Grid Search (exact problem id unknown).md,coding,,,amazon,,not-started,,,
Binary Tree Level Average (Level-order traversal),company wise/amazon/1p3a/Binary Tree Level Average (Level-order traversal).md,coding,,,amazon,,not-started,,,
Coin Change,company wise/amazon/1p3a/Coin Change.md,coding,,,amazon,,not-started,,,
Constant Folding in Query Tree,company wise/amazon/1p3a/Constant Folding in Query Tree.md,coding,,,amazon,,not-started,,,
Construct Lexicographically Largest Sequence with Unlocking State,company wise/amazon/1p3a/Construct Lexicographically Largest Sequence with Unlocking State.md,coding,,,amazon,,not-started,,,
Copy Linked List with Random and Extra Pointer,company wise/amazon/1p3a/Copy Linked List with Random and Extra Pointer.md,coding,,,amazon,,not-started,,,
Count Distinct Profit Pairs That Sum to Target,company wise/amazon/1p3a/Count Distinct Profit Pairs That Sum to Target.md,coding,,,amazon,,not-started,,,
Count Unique Morse Code Transformations,company wise/amazon/1p3a/Count Unique Morse Code Transformations.md,coding,,,amazon,,not-started,,,
Count Unique Morse Translations,company wise/amazon/1p3a/Count Unique Morse Translations.md,coding,,,amazon,,not-started,,,
Count errors from subsequence pairs after replacing wildcards,company wise/amazon/1p3a/Count errors from subsequence pairs after replacing wildcards.md,coding,,,amazon,,not-started,,,
DP : State Compression : Memoization (exact problem id unknown),company wise/amazon/1p3a/DP : State Compression : Memoization (exact problem id unknown).md,coding,,,amazon,,not-started,,,
Decode Morse Code with Word Separator Only (All Possible Decodings),company wise/amazon/1p3a/Decode Morse Code with Word Separator Only (All Possible Decodings).md,coding,,,amazon,,not-started,,,
Decode Morse Code with Word and Character Separators,company wise/amazon/1p3a/Decode Morse Code with Word and Character Separators.md,coding,,,amazon,,not-started,,,
Deduplicate Events List (with Sorting + Map:Stack),company wise/amazon/1p3a/Deduplicate Events List (with Sorting + Map:Stack).md,coding,,,amazon,,not-started,,,
Design a Weighted Random Value Generator,company wise/amazon/1p3a/Design a Weighted Random Value Generator.md,coding,,,amazon,,not-started,,,
Determine Optimal Samples,company wise/amazon/1p3a/Determine Optimal Samples.md,coding,,,amazon,,not-started,,,
Diagonal Nearest Unvisited Redirect Simulation,company wise/amazon/1p3a/Diagonal Nearest Unvisited Redirect Simulation.md,coding,,,amazon,,not-started,,,
Earliest User Who Logged In Exactly Once,company wise/amazon/1p3a/Earliest User Who Logged In Exactly Once.md,coding,,,amazon,,not-started,,,
Encoding and Decoding using Run-length Encoding and Bin Packing,company wise/amazon/1p3a/Encoding and Decoding using Run-length Encoding and Bin Packing.md,coding,,,amazon,,not-started,,,
Find the Kth Largest Element,company wise/amazon/1p3a/Find the Kth Largest Element.md,coding,,,amazon,,not-started,,,
First Non-Repeating Character in a String,company wise/amazon/1p3a/First Non-Repeating Character in a String.md,coding,,,amazon,,not-started,,,
For each prefix,"company wise/amazon/1p3a/For each prefix, check if the whole string can be partitioned into blocks with identical letter-frequency signature.md",coding,,,amazon,,not-started,,,
Fruit Into Baskets (Sliding Window variant),company wise/amazon/1p3a/Fruit Into Baskets (Sliding Window variant).md,coding,,,amazon,,not-started,,,
Get Maximum Median,company wise/amazon/1p3a/Get Maximum Median.md,coding,,,amazon,,not-started,,,
Given a string containing characters T,company wise/amazon/1p3a/Given a string containing characters 'T',coding,,,amazon,,not-started,,,
Graph Problem Similar to Leetcode 207,company wise/amazon/1p3a/Graph Problem Similar to Leetcode 207.md,coding,,,amazon,,not-started,,,
Greedy Removal of Minimum with Neighbor Deletions (Heap + Lazy Deletion),company wise/amazon/1p3a/Greedy Removal of Minimum with Neighbor Deletions (Heap + Lazy Deletion).md,coding,,,amazon,,not-started,,,
Hash Table Lookup with Simple Follow-ups,company wise/amazon/1p3a/Hash Table Lookup with Simple Follow-ups.md,coding,,,amazon,,not-started,,,
Implement get(object,"company wise/amazon/1p3a/Implement get(object, path) for nested Map:Array access.md",coding,,,amazon,,not-started,,,
