Problem,LC#,Status,Date,Tag,Notes,
Range Sum Query - Mutable,307,Solved,07jan2026,Segment Tree / BIT,BIT + Segment Tree both,
Count of Smaller Numbers After Self,315,Redo,28feb2026, merge sort,BIT / Merge Sort,
Range Sum Query 2D - Mutable,308,Not Started,,Segment Tree / BIT,2D BIT,
My Calendar III,732,Not Started,,Segment Tree / BIT,Segment Tree + Lazy Propagation,
Falling Squares,699,Not Started,,Segment Tree / BIT,Segment Tree,
Count of Range Sum,327,Redo,28feb2026, merge sort and segment tree,BIT / Merge Sort,
Next Greater Element II,503,Not Started,,Monotonic Stack / Deque,Template problem,
Sliding Window Maximum,239,Not Started,,Monotonic Stack / Deque,Monotonic Deque,
Largest Rectangle in Histogram,84,Not Started,,Monotonic Stack / Deque,Classic monotonic stack,
Maximal Rectangle,85,Not Started,,Monotonic Stack / Deque,Stack + DP,
Shortest Subarray with Sum at Least K,862,Redo,28feb2026, monotone queue, pref sum,
Sum of Subarray Minimums,907,Not Started,,Monotonic Stack / Deque,Monotonic stack pattern,
Online Stock Span,901,Not Started,,Monotonic Stack / Deque,,
Course Schedule II (Topological Sort),210,Not Started,,Advanced Graph,Clean template,
Alien Dictionary,269,Solved,19feb2026,Advanced Graph,Already done - revisit,
Longest Increasing Path in Matrix,329,Not Started,,Advanced Graph,Topo sort + memoization,
Critical Connections in a Network,1192,Not Started,,Advanced Graph,Tarjan's bridges,
Strongly Connected Components,-,Not Started,,Advanced Graph,Tarjan's/Kosaraju template,
Minimum Cost to Reach City With Discounts,2093,Not Started,,Advanced Graph,Modified Dijkstra,
Swim in Rising Water,778,Not Started,,Advanced Graph,Binary Search + BFS / UF,
Partition to K Equal Sum Subsets,698,Not Started,,Bitmask DP / Bits,Bitmask DP,
Shortest Path Visiting All Nodes,847,Not Started,,Bitmask DP / Bits,BFS + bitmask,
Maximum Students Taking Exam,1349,Not Started,,Bitmask DP / Bits,Bitmask DP,
Find the Shortest Superstring,943,Not Started,,Bitmask DP / Bits,TSP-style bitmask DP,
Number of Valid Words for Each Puzzle,1178,Not Started,,Bitmask DP / Bits,Bitmask + subset enumeration,
Subarray Sum Equals K,560,Solved,,Prefix Sum / Diff Array,Already done - revisit,
Product of Array Except Self,238,Solved,,Prefix Sum / Diff Array,Already done,
Range Addition,370,Not Started,,Prefix Sum / Diff Array,Difference array template,
Corporate Flight Bookings,1109,Not Started,,Prefix Sum / Diff Array,Difference array,
Maximum Sum of 3 Non-Overlapping Subarrays,689,Not Started,,Prefix Sum / Diff Array,Prefix sum + DP,
Stamping the Grid,2132,Not Started,,Prefix Sum / Diff Array,2D prefix sum + diff array,
LRU Cache,146,Solved,,Design,Revisit for speed,
